Ano,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez
2020,211.1,366.0,14.7,23.4,33.5,75.9,9.4,69.9,7.9,40.4,70.1,467.1
2019,176.3,185.2,273.1,82.8,14.7,13.2,31.2,11.2,43.4,59.7,168.9,217.2
2018,258.8,98.8,258.1,15.0,10.7,15.7,4.6,124.7,91.4,180.8,137.9,198.9
2017,462.0,137.9,135.9,119.1,218.7,22.4,0.0,66.3,16.5,117.9,263.4,95.0
2016,380.2,351.3,118.9,37.8,110.2,94.0,9.1,61.7,24.6,103.6,91.2,143.8
2015,182.4,134.1,251.5,46.7,125.2,0.0,88.1,21.6,220.2,123.4,260.1,259.8
2014,104.6,132.3,125.5,74.4,63.8,0.5,30.5,22.4,125.0,37.3,116.6,257.0
2013,284.0,162.8,192.0,105.9,144.8,78.0,39.9,0.0,66.3,135.1,171.2,54.6
2012,262.1,81.8,177.0,192.3,83.8,197.6,11.4,0.0,94.7,51.8,138.2,121.9
2011,496.1,173.7,144.5,89.2,31.5,45.7,7.9,40.4,3.0,209.3,135.9,207.5
2010,213.4,42.7,55.1,88.9,33.0,29.2,88.6,0.0,92.7,132.6,86.4,218.9
